Tokens,SChinese,English
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_redirect_range_scepter,作用范围：,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_ally_threshold_scepter,伤害临界值：,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_scepter_description,提升持续时间。启动回光返照后，亚巴顿附近%redirect_range_scepter%范围内友方英雄受到的伤害超过%ally_threshold_scepter%点时亚巴顿就会自动对其施放迷雾缠绕。,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_Note0,在亚巴顿受到眩晕作用时依然可以手动开启回光返照，但是受到沉默作用时不可以。不过被沉默时被动效果依然能生效。,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_Note1,无光之盾在回光返照生效期间不会吸收伤害，因此也不会影响治疗效果。,


DOTA_Tooltip_modifier_abaddon_deathcoil_effect,迷雾缠绕,
DOTA_Tooltip_modifier_abaddon_deathcoil_effect_Description,护甲改变了%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%点。,
DOTA_Tooltip_modifier_abaddon_borrowed_time,回光返照,
DOTA_Tooltip_modifier_abaddon_borrowed_time_Description,亚巴顿所受的任何伤害将转而治疗自己。,
DOTA_Tooltip_modifier_abaddon_borrowed_time_damage_redirect,回光返照伤害转移,
DOTA_Tooltip_modifier_abaddon_borrowed_time_damage_redirect_Description,只要附近队友受到的伤害超过一定数值，亚巴顿就会自动向其单独施放一次迷雾缠绕。,
DOTA_Tooltip_modifier_abaddon_aphotic_shield,无光之盾,
DOTA_Tooltip_modifier_abaddon_aphotic_shield_Description,吸收伤害；吸收的伤害达到最大后将会爆炸并对周围单位造成伤害。,
DOTA_Tooltip_modifier_abaddon_frostmourne_debuff,魔霭诅咒,
DOTA_Tooltip_modifier_abaddon_frostmourne_debuff_bonus,魔霭诅咒,
DOTA_Tooltip_modifier_abaddon_frostmourne_debuff_Description,移动速度被减缓%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。,
DOTA_Tooltip_modifier_abaddon_frostmourne_debuff_bonus_Description,移动速度被减缓%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%，同时受到伤害。所有攻击的单位将获得额外攻击速度。,
DOTA_Tooltip_modifier_abaddon_frostmourne_buff,魔霭诅咒,
DOTA_Tooltip_modifier_abaddon_frostmourne_buff_Description,获得%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%攻击速度加成。,
DOTA_Tooltip_modifier_abaddon_borrowed_time_immolate_damage,魔霭献祭,
DOTA_Tooltip_modifier_abaddon_borrowed_time_immolate_damage_Description,回光返照生效时持续受到并造成伤害。,



DOTA_Tooltip_ability_imba_abaddon_the_quickening,畅快淋漓,
DOTA_Tooltip_ability_imba_abaddon_the_quickening_Description,亚巴顿附近阵亡的单位会降低他的冷却时间。,
DOTA_Tooltip_ability_imba_abaddon_the_quickening_Note0,每次亚巴顿附近%radius%范围内有单位阵亡，他的所有冷却时间在非英雄单位阵亡时减少%cooldown_reduction_creeps%秒，英雄阵亡时减少%cooldown_reduction_heroes%秒。,


DOTA_Tooltip_facet_abaddon_facets_imba_1,毒雾护罩,
DOTA_Tooltip_facet_abaddon_facets_imba_1_Description,无光之盾吸收更多伤害，并且实时反弹伤害，  但结束时不会爆炸 。,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_facet_abaddon_facets_imba_1,伤害护盾数值提升，  但是护盾被摧毁后不再爆炸。%absorb_to_damage%%%吸收伤害会反弹给附近的敌人。,
